Title,Id,PostTypeId,AcceptedAnswerId,ParentId,OwnerUserId,DisplayName,Reputation
Why are 7 non-compulsory tournaments included in Marin Cilic's ATP ranking?,17986,1,,,14990,Ketan,31
What does SR mean for track?,17989,1,,,14998,Terryal Bell,11
,17990,2,,17989,14993,Thev,123
,17992,2,,17986,14993,Thev,123
,17994,2,,17949,14856,two black lines in the middle,131
Tiebreakers for best loser in a single elimination playoff,17998,1,,,15008,Kenneth,11
,18002,2,,17998,12991,gdrt,5546
What proportion of NHL hat tricks are natural?,18003,1,,,3671,alamoot,8213
,18004,2,,16162,375,Pierre Bastien,106
Where can I purchase tickets for the 2018 World Cup?,18005,1,18006,,15014,alim1990,153
,18006,2,,18005,14543,dly,4021
"If ball rebounds onto the stumps after hitting the wicket-keeper's leg, will it be a stumping?",18008,1,18010,,15018,Ajith kumar,3
,18009,2,,17175,14047,Brian Wendel,41
,18010,2,,18008,14951,AustereTiger,421
Maximum overs for a bowler in reduced 14 overs match?,18014,1,,,15030,Abdul Wasi,11
,18015,2,,18014,6126,Philip Kendall,18797
"Who will take strike for this particular situation, when striker is out Caught in the boundary?",18016,1,18017,,15032,Varun Chandran,213
,18017,2,,18016,6126,Philip Kendall,18797
,18018,2,,18016,13485,Ram Chandra Giri,6269
Who pays for the expenses of players called up during international breaks?,18019,1,18023,,15036,AlexGH,135
,18020,2,,18019,12567,bklups,100
Would Ireland qualify for the 2019 Cricket World Cup if their game against Afghanistan ended in a tie?,18021,1,18022,,14951,AustereTiger,421
,18022,2,,18021,6126,Philip Kendall,18797
,18023,2,,18019,12991,gdrt,5546
"If the bowler has exhausted his quota of bouncers for an over, is the batsman out if he nicks a bouncer and gets caught?",18024,1,,,15032,Varun Chandran,213
,18026,2,,18024,6126,Philip Kendall,18797
,18027,2,,14483,14027,Rodia,125
What would happen in a tie in a Cricket World Cup final?,18029,1,,,14951,AustereTiger,421
What was Cameron Bancroft trying to do with the tape?,18034,1,,,14951,AustereTiger,421
,18035,2,,18034,6126,Philip Kendall,18797
Is the batsman run-out if ball in contact with the lying stump,18038,1,18042,,15049,Praveen,113
,18039,2,,16566,14017,Adam Jaamour,467
"In basketball, why is it easier to make a layup by banking it off the backboard?",18041,1,,,1139,Craig W,173
,18042,2,,18038,6126,Philip Kendall,18797
,18043,2,,15676,14017,Adam Jaamour,467
,18044,2,,273,15051,Fredinabun,1
,18046,2,,18041,15054,user15054,1
Is the ball allowed to hit the receiver's side more than once in a table tennis serve,18047,1,,,15057,Brady Taylor,21
,18048,2,,4484,15058,E. Man,9
,18049,2,,18047,15033,offeltoffel,166
Is there any rule forcing a team to try to win?,18050,1,18051,,5036,Fredy31,1297
,18051,2,,18050,6126,Philip Kendall,18797
Why Indian cricketers don't play in foreign leagues?,18052,1,18054,,15063,Vimath,53
An attempt to shield the ball ends in one player kicking another's leg. Is it is a foul and what is the result?,18053,1,18061,,14677,user493048,141
,18054,2,,18052,6126,Philip Kendall,18797
Which is the most frequently played match in football European Cups?,18055,1,,,1831,Ale,9000
,18056,2,,7254,15064,spaceherpe61,39
,18057,2,,18053,14017,Adam Jaamour,467
,18058,2,,18055,13485,Ram Chandra Giri,6269
,18059,2,,18053,14835,Mazhar,107
Why doesn't college men's basketball play in quarters?,18060,1,18104,,14831,Voromir Kadien,198
,18061,2,,18053,3526,Reinstate Monica 2331977,7219
,18062,2,,18052,15067,Mitesh Vora,101
,18063,2,,18052,15032,Varun Chandran,213
,18064,2,,18029,15032,Varun Chandran,213
Blocked shot on a foul by another player,18066,1,20630,,9613,tcigrand,230
,18067,2,,18065,737,Greg,963
What makes the 2018 ball tampering scandal in Australia vs South Africa so significant?,18068,1,,,15070,Bob Tway,119
Why didn't Lu Xiaojun get to lift 177kg at the 2012 London Olympic Games?,18069,1,,,15072,dr_bubble_pops,11
,18070,2,,18066,9690,Jason P Sallinger,1162
Runner Misses Third Base,18071,1,,,15077,Dave White,11
How easy is it for a LF to play RF and vice versa?,18072,1,24761,,9690,Jason P Sallinger,1162
,18073,2,,18071,9578,BowlOfRed,2998
,18074,2,,16630,15080,Metlover,46
,18077,2,,701,15083,Rushie,1
Why was Sisco's 9th inning bunt vs the Minnesota Twins a bad play?,18078,1,,,15084,Roddy of the Frozen Peas,151
"What will be the standing of teams in a situation, where 3 teams have equal points and tournament rules don't specify tie-breakers between 3 teams?",18080,1,18082,,15087,Roy Sokoo,31
,18081,2,,18052,13485,Ram Chandra Giri,6269
,18082,2,,18080,14543,dly,4021
,18083,2,,4054,13362,Robert D. Bivins III,1
What sports are played on a square (besides a given list of exceptions)?,18085,1,18103,,15090,Alyssa Spencer,5
,18088,2,,18087,14598,A J,193
,18091,2,,18068,10829,Neil Meyer,508
Will records in a particular match be discarded if the bowler is called for throwing?,18092,1,,,15032,Varun Chandran,213
,18093,2,,18034,15032,Varun Chandran,213
What is the longest additional time ever added in Europe's top five leagues?,18095,1,18102,,15095,adithskv,403
,18096,2,,17345,7615,Will Appleby,263
Soccer Standings,18098,1,,,15087,Roy Sokoo,31
,18099,2,,16013,15098,TicTok,19
"White Sox vs Blue Jays call overturned, why was a run awarded?",18101,1,18128,,15100,koryakinp,123
,18102,2,,18095,13485,Ram Chandra Giri,6269
,18103,2,,18085,10829,Neil Meyer,508
,18104,2,,18060,13485,Ram Chandra Giri,6269
,18105,2,,18098,14543,dly,4021
,18109,2,,4022,15095,adithskv,403
What is the longest suspension ever imposed in any major league in football?,18110,1,,,15095,adithskv,403
,18113,2,,18110,13485,Ram Chandra Giri,6269
MLB Mound Visits: do pitching changes count?,18115,1,18127,,9690,Jason P Sallinger,1162
MLB Mound Visits: initiating a visit when MVR = 0,18116,1,,,9690,Jason P Sallinger,1162
What football match had on the playing field the highest number of golden ball (Ballon d'or) winners?,18117,1,,,14237,user,485
What is the longest ban ever imposed in cricket?,18118,1,18120,,15095,adithskv,403
,18119,2,,18117,15095,adithskv,403
,18120,2,,18118,14598,A J,193
"Stance for left handed, right footed boxer?",18121,1,,,15112,Hugh,1
Foreign player rule in La Liga,18122,1,18130,,15095,adithskv,403
Ballon d or/Fifa the best,18123,1,,,15095,adithskv,403
,18124,2,,18123,14543,dly,4021
,18127,2,,18115,9690,Jason P Sallinger,1162
,18128,2,,18101,9578,BowlOfRed,2998
,18130,2,,18122,9319,Nij,6688
,18131,2,,18122,12991,gdrt,5546
,18135,2,,18134,13485,Ram Chandra Giri,6269
,18136,2,,324,14151,raffaem,243
